name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,
"AWAT_fault_1                                                        ",173.872,-41.718,173.283,-42.06,90,100,0,0,0,0,0,0,0,0,25,5,0,1,0,-6,3.5,0,2,2,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AWAT_fault_2                                                        ",173.283,-42.06,172.813,-42.157,90,100,0,0,0,0,0,0,0,0,25,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AWAT_fault_3                                                        ",172.813,-42.157,172.237,-42.347,90,100,0,0,0,0,0,0,0,0,25,5,0,1,0,0,1,0,0,1,0,0,5,1,0,5,0,0,0,0,1,0,0,
"Akar_connect                                                        ",20.54,38.81,20.708,39.124,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"Akar_connect2                                                       ",21.348,38.001,21.771,38.293,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,-8,5,1,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"Akarnania_Vernant14_1                                               ",21.771,38.293,21.951,38.35,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Akarnania_Vernant14_2                                               ",21.951,38.35,21.718,38.434,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Akarnania_Vernant14_3                                               ",21.718,38.434,21.593,38.59,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Akarnania_Vernant14_4                                               ",21.593,38.59,21.307,38.633,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Akarnania_Vernant14_5                                               ",21.307,38.633,21.151,38.915,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Akarnania_Vernant14_6a                                              ",21.151,38.915,21.011,39.091,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Akarnania_Vernant14_6b                                              ",21.011,39.091,20.974,39.139,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
