lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,
247.591,40.337,0,0,"V175_GPS  ",-3.308,1.224,0.72,0.62,1,0,1,0,0,0,
247.59,53.565,0,0,"C301_GPS  ",1.977,-0.145,0.196,0.343,1,0,1,0,0,0,
247.577,42.855,-0.024,0,"POCR_GPS  ",-2.321,0.221,0.412,0.418,1,0,1,0,0,0,
247.572,40.474,0,0,"P115_GPS  ",-2.568,1.224,0.435,0.438,1,0,1,0,0,0,
247.568,42.866,0,0,"IDPO_GPS  ",-2.151,0.413,0.335,0.269,1,0,1,0,0,0,
269.515,37.845,0,0,"MACC_GPS  ",0.203,1.366,0.208,0.244,1,0,1,0,0,0,
269.523,39.665,0,0,"WNCI_GPS  ",0.074,1.257,0.644,0.701,1,0,1,0,0,0,
269.532,30.513,0,0,"HAMM_GPS  ",-0.135,1.267,0.205,0.214,1,0,1,0,0,0,
247.547,34.522,0.043,0,"SENA_GPS  ",-0.747,2.908,2.7,3,1,0,1,0,0,0,
247.545,35.342,0,0,"FERN_GPS  ",-1.809,2.518,0.222,0.206,1,0,1,0,0,0,
358.549,50.931,0,0,"OSHQ_GPS  ",18.528,-6.679,0.272,0.29,1,0,1,0,0,0,
358.551,38.041,0,0,"MULA_GPS  ",21.199,-6.329,0.637,0.532,1,0,1,0,0,0,
