lon,lat,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,
87.77,31.89,JB53_GPS,31.432,12.817,1,1,0,0,1,
87.89,50.24,KURA_GPS,9.304,-6.972,1.4,1.3,0,0,1,
88.134,47.855,ALTA_GPS,12.038,-10.588,3.33,3.19,0,0,1,
88.14,47.85,JB44_GPS,12.274,-3.85,1,1,0,0,1,
88.153,39.029,RUOQ_GPS,14.066,2.614,1.65,1.36,0,0,1,
88.183,39.024,I034_GPS,13.231,-1.121,1.1,1,0,0,1,
88.251,40.267,I033_GPS,14.437,-1.118,1.2,1.1,0,0,1,
88.265,39.445,LOBU_GPS,10.394,2.853,2.86,1.91,0,0,1,
88.36,69.362,NRIL_GPS,1.23,-7.1,0.82,0.82,1,0,1,
88.42,50.07,CHAG_GPS,10.322,-4.325,1.5,1.4,0,0,1,
88.503,27.089,DELO_GPS,28.681,27.585,8.47,4.18,0,0,1,
88.864,29.25,XIGA_GPS,30.11,18.594,1.09,0.76,0,0,1,
88.898,39.241,MILA_GPS,10.396,1.163,2.42,1.83,0,0,1,
88.905,27.488,YADO_GPS,29.748,20.534,2.88,2.25,0,0,1,
88.906,27.489,YADO_GPS,30.106,21.786,2.81,2.22,0,0,1,
89.14,38.849,KUMU_GPS,9.524,-0.477,2.68,1.89,0,0,1,
89.196,38.717,G172_GPS,15.066,-1.068,1.2,1.2,0,0,1,
89.572,28.914,JIAN_GPS,30.82,16.268,1.5,1.21,0,0,1,
89.573,28.914,JIAN_GPS,31.149,17.482,1.35,1.15,0,0,1,
89.63,38.467,NICE_GPS,9.711,0.322,3.71,2.04,0,0,1,
89.904,38.409,KLSA_GPS,14.437,2.225,3.13,2,0,0,1,
89.94,48.98,ULGI_GPS,12.003,-2.988,1.1,1,0,0,1,
89.968,38.391,HAPI_GPS,13.38,2.5,3.05,1.99,0,0,1,
90.084,38.391,TERR_GPS,16.412,4.5,2.06,1.63,0,0,1,
90.418,38.376,MULI_GPS,16.846,3.777,2.62,1.84,0,0,1,
90.797,29.736,BALA_GPS,34.099,12.429,1.17,0.83,0,0,1,
90.798,29.736,BALA_GPS,34.164,13.641,0.99,0.74,0,0,1,
90.804,38.287,G171_GPS,22.198,1.621,1.2,1.1,0,0,1,
90.906,38.285,HATU_GPS,15.052,2.178,2.51,1.82,0,0,1,
90.958,29.278,GGAR_GPS,36.982,10.422,4,3.37,0,0,1,
90.98,38.59,JB32_GPS,19.817,1.309,1.1,1,0,0,1,
90.981,38.587,XORK_GPS,19.311,-1.546,3.34,3.17,0,0,1,
90.982,38.588,JB32_GPS,20.439,0.332,1.1,1,0,0,1,
91.1,29.66,LHAS_GPS,34.893,11.02,1,1,0,0,1,
91.103,29.657,LHAS_GPS,34.891,12.295,0.92,0.73,0,0,1,
91.104,29.657,LHAS_GPS,35.239,13.189,0.69,0.66,0,0,1,
91.363,29.663,DAGZ_GPS,34.805,11.895,0.93,0.76,0,0,1,
91.59,53.67,ABAK_GPS,8.362,-6.933,1.4,1.3,0,0,1,
91.62,47.96,HOVA_GPS,14.048,-4.83,1,1,0,0,1,
91.63,47.76,HOVD_GPS,12.822,-2.729,1.1,1,0,0,1,
91.692,32.275,ANDU_GPS,35.546,5.095,1.35,1,0,0,1,
