other1,other2,other3,other4,other5,other6,name,interior_lon,interior_lat,euler_lon,euler_lon_sig,euler_lat,euler_lat_sig,rotation_rate,rotation_rate_sig,rotation_flag,apriori_flag,
0,0,0,0,0,0,"Somalia                 ",50.884,-8.619,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"SouthAmerica            ",305.4,-10.974,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"SouthBismarck           ",149.037,-5.493,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"SouthCaspian            ",51.959,38.196,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"SouthChinaBlock         ",108.865,27.119,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"SouthEastAsia           ",110.779,7.87,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"SouthZagros             ",52.96,28.578,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"South_of_Ararat         ",42.844,38.951,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"SouthernIslands         ",241.401,33.499,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"SouthernOceanMini       ",300.597,-61.996,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Sumatra_sliver          ",99.692,-0.946,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Sumatran_fault_splay    ",99.785,0.693,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"TIP_iran                ",42.788,38.35,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"TROB                    ",150.01,-8.415,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Taco                    ",236.557,46.873,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Taihang                 ",113.635,37.627,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Taipei                  ",121.468,25.197,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Taipei2                 ",121.648,25.144,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"TaiwanEast              ",120.749,20.359,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Tajik                   ",67.641,37.445,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Talesh                  ",47.366,38.559,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Timor                   ",126.825,-8.541,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Tintina                 ",222.858,61.765,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Tonga                   ",184.79,-20.164,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Travis2                 ",340.836,64.415,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Valera                  ",290.172,10.105,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"VerdugoHills            ",241.716,34.201,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"VernantAnatolia         ",29.39,38.57,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"WAIR                    ",176.723,-40.988,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"WELL                    ",176.091,-39.078,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"WMAK                    ",117.05,-3.798,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"WNFB                    ",170.972,-17.066,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"WNIS                    ",173.363,-40.472,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"W_Issykul               ",73.491,42.373,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"W_Kyrgyz                ",70.65,41.457,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"W_Kyrgyz_2              ",72.112,43.602,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"WestOfSichuan           ",103.626,32.205,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"WesternMojave           ",242.36,34.88,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"WesternPeloponnese      ",21.702,36.821,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"WhiteWolf               ",241.732,35.294,0,1,0,1,0,1,0,0,
0,0,0,0,0,0,"XXF                     ",102.623,28.434,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"YFTB                    ",239.151,46.481,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Yakataga                ",217.942,60.246,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Yakutat                 ",218.619,59.001,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"YanShan                 ",119.006,40.633,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"above_baja              ",244.041,32.267,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"amur                    ",126.871,48.484,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"arabia                  ",46.213,24.42,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"baja                    ",247.022,26.699,0,0,0,0,0,0,0,0,
