lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,
242.035,34.244,-0.003,16,"OFW2_PBO",-24.847,22.398,0.6,1.1,1,0,1,0,0,0,
241.163,34.248,-0.005,3,"P105_PBO",-28.469,30.023,0.592,0.618,1,0,1,0,0,0,
243.947,34.251,-0.013,8,"NLIB_PBO",-3.74,4.454,0.2,0.2,1,0,1,0,0,0,
241.476,34.254,-0.054,22,"SUTB_PBO",-27.004,26.394,0.9,0.93,1,0,1,0,0,0,
243.721,34.255,-0.011,6,"P044_PBO",-5.921,5.183,0.707,0.629,1,0,1,0,0,0,
241.359,34.257,-0.062,22,"P171_PBO",-27.81,29.939,0.84,0.87,1,0,1,0,0,0,
241.489,34.258,-0.019,22,"P267_PBO",-24.993,26.514,1.11,1.16,1,0,1,0,0,0,
249.991,34.264,0,1,"HOLD_GPS",-1.722,-0.188,0.5,0.4,1,0,1,0,0,0,
243.116,34.264,-0.004,20,"RG15_PBO",-12.942,14.774,0.3,0.3,1,0,1,0,0,0,
243.567,34.267,-0.011,5,"P041_PBO",-6.004,10.248,0.698,0.7,1,0,1,0,0,0,
240.762,34.276,-0.004,3,"GNPS_PBO",-31.052,29.428,0.2,0.5,1,0,1,0,0,0,
242.708,34.281,-0.05,20,"P427_PBO",-17.73,19.046,0.95,0.98,1,0,1,0,0,0,
241.812,34.293,-0.024,16,"P101_PBO",-25.647,23.304,0.3,0.3,1,0,1,0,0,0,
241.515,34.293,-0.009,22,"P088_PBO",-26.401,24.246,0.561,0.566,1,0,1,0,0,0,
241.122,34.296,-0.009,3,"P045_PBO",-28.916,29.444,0.594,0.598,1,0,1,0,0,0,
251.881,34.301,-0.054,1,"P439_PBO",-0.892,-0.221,0.405,0.405,1,0,1,0,0,0,
242.681,34.305,-0.008,20,"P011_PBO",-16.743,16.384,0.3,0.4,1,0,1,0,0,0,
245.811,34.309,-0.01,8,"TTAP_GPS",-2.332,2.911,0.2,0.2,1,0,1,0,0,0,
240.936,34.32,-0.006,3,"P100_PBO",-29.249,30.324,0.3,0.3,1,0,1,0,0,0,
240.858,34.327,-0.004,3,"FOOT_PBO",-28.889,29.202,0.656,0.64,1,0,1,0,0,0,
241.399,34.33,-0.003,3,"P226_PBO",-30.291,24.067,1.25,1.28,1,0,1,0,0,0,
241.399,34.331,-0.065,3,"P348_PBO",-28.021,26.197,0.81,0.84,1,0,1,0,0,0,
241.974,34.333,-0.058,16,"P208_PBO",-24.406,22.685,0.84,0.88,1,0,1,0,0,0,
242.549,34.347,-0.06,20,"P705_PBO",-17.718,18.752,0.91,0.94,1,0,1,0,0,0,
241.589,34.353,-0.057,16,"LKCP_PBO",-26.28,24.49,0.87,0.9,1,0,1,0,0,0,
241.116,34.356,-0.008,3,"P681_PBO",-28.247,28.82,0.3,0.3,1,0,1,0,0,0,
242.395,34.362,-0.002,20,"SEAT_PBO",-17.32,22.048,1.84,1.6,1,0,1,0,0,0,
243.917,34.367,-0.012,8,"DUBO_PBO",-2.836,4.355,0.2,0.2,1,0,1,0,0,0,
244.082,34.37,-0.01,8,"GOGA_PBO",-2.935,2.651,0.3,0.2,1,0,1,0,0,0,
242.322,34.382,-0.009,20,"TIVA_GLA",-20.099,19.628,0.721,0.721,1,0,1,0,0,0,
240.992,34.399,0,3,"CEDA_PBO",-28.046,26.022,1.3,1.4,1,0,1,0,0,0,
240.629,34.408,-0.007,3,"P623_PBO",-29.647,27.031,0.2,0.3,1,0,1,0,0,0,
242.14,34.413,-0.031,16,"P349_PBO",-22.189,20.598,1.11,1.14,1,0,1,0,0,0,
240.12,34.415,-0.008,3,"P510_PBO",-30.649,29.242,0.3,0.2,1,0,1,0,0,0,
244.236,34.426,0.002,8,"NRC1_PBO",-3.533,0.848,1.1,1.1,1,0,1,0,0,0,
243.695,34.428,-0.009,23,"RG13_PBO",-5.735,7.86,0.2,0.3,1,0,1,0,0,0,
243.851,34.43,-0.009,8,"WMOK_PBO",-2.934,4.156,0.3,0.2,1,0,1,0,0,0,
240.99,34.44,-0.051,3,"P230_PBO",-29.341,26.294,1.26,1.28,1,0,1,0,0,0,
240.812,34.441,-0.005,3,"P354_PBO",-28.446,25.027,0.3,0.3,1,0,1,0,0,0,
242.932,34.454,-0.059,20,"P687_PBO",-15.45,15.068,1.19,0.99,1,0,1,0,0,0,
242.155,34.458,-0.025,20,"TRND_GPS",-18.278,21.088,0.698,0.698,1,0,1,0,0,0,
241.245,34.46,-0.006,3,"P122_PBO",-26.543,23.517,0.3,0.4,1,0,1,0,0,0,
243.12,34.462,-0.001,20,"RG10_PBO",-12.235,11.773,0.5,0.5,1,0,1,0,0,0,
242.606,34.462,-0.008,20,"P715_PBO",-15.158,14.848,0.682,0.687,1,0,1,0,0,0,
242.846,34.468,-0.04,20,"P702_PBO",-14.664,14.281,1.01,1.03,1,0,1,0,0,0,
239.318,34.469,-0.062,3,"P271_PBO",-32.739,34.162,0.85,0.9,1,0,1,0,0,0,
239.867,34.483,-0.011,3,"P497_PBO",-31.648,33.648,0.2,0.3,1,0,1,0,0,0,
242.235,34.493,-0.032,20,"P178_PBO",-15.78,18.175,1.35,1.05,1,0,1,0,0,0,
240.286,34.494,-0.047,3,"P216_PBO",-30.698,30.462,0.96,0.96,1,0,1,0,0,0,
240.859,34.499,-0.006,3,"P010_PBO",-27.543,23.625,0.3,0.3,1,0,1,0,0,0,
240.28,34.5,-0.001,3,"P005_PBO",-31.831,30.441,0.656,0.642,1,0,1,0,0,0,
239.801,34.502,-0.031,3,"P380_PBO",-29.833,33.182,1.03,0.98,1,0,1,0,0,0,
241.879,34.502,-0.032,16,"P689_PBO",-22.268,20.548,1.12,1.15,1,0,1,0,0,0,
242.077,34.508,-0.009,20,"P461_PBO",-16.703,18.59,0.57,0.619,1,0,1,0,0,0,
243.852,34.509,-0.01,8,"KVTX_PBO",-3.431,3.256,0.2,0.3,1,0,1,0,0,0,
242.271,34.51,-0.003,20,"STMB_PBO",-15.637,16.293,0.5,0.5,1,0,1,0,0,0,
241.387,34.517,-0.008,16,"P124_PBO",-25.611,21.425,0.606,0.61,1,0,1,0,0,0,
243.708,34.533,-0.011,8,"MDO1_PBO",-6.431,5.86,0.2,0.2,1,0,1,0,0,0,
