lon,lat,east_vel,north_vel,east_sig,north_sig,correlation,other1,tog,name,up_vel,up_sig,east_adjust,north_adjust,up_adjust
241.669,33.798,-28.521,30.387,0.91,0.94,-0.055,22,true,CRU1_PBO,0,1,0,0,0
243.825,33.81,-7.445,8.164,1.05,1.05,-0.034,6,true,P256_PBO,0,1,0,0,0
241.727,33.824,-27.564,28.705,0.574,0.6,-0.006,22,true,P676_PBO,0,1,0,0,0
244.236,33.834,-1.9,2.868,1.13,1.13,-0.006,1,true,P268_PBO,0,1,0,0,0
242.818,33.836,-22.655,24.236,0.574,0.557,-0.01,16,true,P107_PBO,0,1,0,0,0
242.691,33.837,-23.408,26.257,0.97,1.07,-0.063,16,true,P243_PBO,0,1,0,0,0
242.402,33.847,-25.267,26.788,0.92,0.96,-0.058,4,true,P275_PBO,0,1,0,0,0
242.563,33.857,-24.054,25.669,0.505,0.512,-0.014,16,true,WLWY_PBO,0,1,0,0,0
242.391,33.858,-24.859,25.79,0.2,0.2,-0.011,4,true,HVWY_PBO,0,1,0,0,0
242.135,33.863,-26.296,25.778,1.04,1.07,-0.042,4,true,P247_PBO,0,1,0,0,0
243.788,33.866,-9.654,9.558,0.3,0.4,-0.005,6,true,P040_PBO,0,1,0,0,0
242.453,33.884,-24.609,26.506,0.93,0.96,-0.056,16,true,MDMT_PBO,0,1,0,0,0
244.704,33.887,-4.55,0.637,0.4,0.4,-0.004,1,true,GS03_GPS,0,1,0,0,0
241.671,33.887,-27.654,29.122,0.589,0.596,-0.013,22,true,FORE_PBO,0,1,0,0,0
243.048,33.893,-17.756,19.475,0.3,0.3,-0.011,21,true,RG21_PBO,0,1,0,0,0
242.262,33.914,-25.616,26.334,0.86,0.88,-0.061,4,true,P250_PBO,0,1,0,0,0
242.682,33.918,-23.456,24.484,0.2,0.2,-0.013,16,true,P718_PBO,0,1,0,0,0
241.693,33.928,-27.628,27.356,0.709,0.712,0,4,true,P118_PBO,0,1,0,0,0
243.608,33.935,-10.546,17.902,0.93,0.95,-0.049,5,true,P673_PBO,0,1,0,0,0
239.894,33.951,-30.864,36.098,0.94,0.93,-0.039,3,true,RCA2_PBO,0,1,0,0,0
241.572,33.958,-27.816,28.301,1.16,1.18,-0.042,22,true,P519_PBO,0,1,0,0,0
243.92,33.959,-6.55,5.455,0.9,1,-0.001,6,true,RESO_PBO,0,1,0,0,0
241.905,33.962,-28.858,30.001,0.3,0.5,-0.003,4,true,P008_PBO,0,1,0,0,0
244.001,33.974,-4.757,4.357,1.57,1.7,0.033,6,true,P217_PBO,0,1,0,0,0
242.451,33.975,-24.234,26.006,1.11,1.14,-0.102,16,true,P237_PBO,0,1,0,0,0
242.151,33.993,-25.589,25.572,0.545,0.55,-0.011,4,true,P710_PBO,0,1,0,0,0
240.247,33.995,-29.811,34.414,0.92,0.92,-0.057,3,true,P139_PBO,0,1,0,0,0
244.002,34.001,-5.948,5.653,0.3,0.2,-0.012,6,true,JFWS_PBO,0,1,0,0,0
243.048,34.003,-14.933,20.713,1.09,1.1,-0.025,21,true,P236_PBO,0,1,0,0,0
239.935,34.004,-31.465,35.646,0.2,0.2,-0.009,3,true,GLRS_PBO,0,1,0,0,0
242.861,34.014,-17.055,21.21,0.94,0.99,-0.058,21,true,HCRO_PBO,0,1,0,0,0
240.637,34.015,-30.861,35.831,0.4,1.2,-0.001,3,true,YELL_PBO,0,1,0,0,0
242.487,34.018,-22.734,24.555,1.02,1.05,-0.063,16,true,P273_PBO,0,1,0,0,0
241.974,34.019,-27.755,25.1,0.3,0.6,-0.005,4,true,AHID_PBO,0,1,0,0,0
