lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate
134.8190,35.3150,-0.0020,0,950342_G,9.5780,0.7160,2.2720,2.1910,1,0,1,0,0,0,0.0000,-3662323.7884,3685536.0926,3680836.8126,10,9.8045,0.1470,-0.5690,12.1805,-1.7303,0.2941,-0.0039,2.0819,-1.8734,0.0000,0.0000
134.8290,34.7870,0.0040,0,950354_G,9.6920,1.7960,2.2610,2.0860,1,0,1,0,0,0,0.0000,-3686724.5908,3708796.6859,3632800.6270,10,8.1666,1.5381,-0.2579,12.6423,-1.7244,1.5519,-0.3120,2.9237,-2.9505,0.0000,0.0000
134.8610,34.4930,-0.0120,0,950360_G,7.7660,0.7650,2.3080,2.4950,1,0,1,0,0,0,0.0000,-3701895.8501,3719901.2219,3605919.2276,10,5.3363,2.7527,1.9877,12.8985,-1.7054,3.5473,-0.5222,4.0149,-3.9359,0.0000,0.0000
134.8820,34.3500,-0.0130,0,950361_G,5.5220,1.0210,2.2420,2.5130,1,0,1,0,0,0,0.0000,-3709598.1251,3724909.4297,3592809.8965,10,3.8006,3.1441,2.1231,13.0229,-1.6930,4.2560,-0.2921,4.9663,-4.5450,0.0000,0.0000
134.9320,35.5560,-0.0010,0,950328_G,9.7210,0.1050,2.2200,2.5750,1,0,1,0,0,0,0.0000,-3658618.1498,3667312.7437,3702658.7657,5,10.6476,0.5215,0.4165,12.7250,-0.9457,0.1604,0.0447,1.9170,-1.5119,0.0000,0.0000
134.9450,34.9360,-0.0100,0,960649_G,7.6830,2.3800,1.9640,2.1310,1,0,1,0,0,0,0.0000,-3687539.5128,3694625.8850,3646387.7157,10,8.6289,1.1189,-1.2611,12.5101,-1.6557,1.1173,-0.3263,2.7640,-2.4482,0.0000,0.0000
134.9660,34.6700,0.0020,0,950358_G,8.4490,1.7510,2.0180,2.0800,1,0,1,0,0,0,0.0000,-3700816.8636,3705211.6899,3622114.3462,10,6.2992,2.2227,0.4717,12.7422,-1.6433,2.9928,-0.7470,3.4502,-3.1190,0.0000,0.0000
134.9730,35.0910,-0.0020,0,950345_G,7.6420,1.6420,2.1770,2.2420,1,0,1,0,0,0,0.0000,-3682359.1994,3685831.3776,3660495.7648,10,9.2390,0.6485,-0.9935,12.3740,-1.6391,0.6077,-0.1608,2.5274,-2.1268,0.0000,0.0000
134.9970,34.8050,0.0070,0,950352_G,7.9450,2.5280,2.0260,1.9870,1,0,1,0,0,0,0.0000,-3696776.3412,3697163.4869,3634443.3268,10,7.4678,1.6886,-0.8394,12.6238,-1.6249,2.0299,-0.6215,3.1261,-2.6921,0.0000,0.0000
135.0220,35.2380,0.0030,0,960647_G,7.0910,0.8060,2.2510,2.3660,1,0,1,0,0,0,0.0000,-3678854.5572,3676030.4839,3673850.9074,10,9.5461,0.3027,-0.5033,12.2446,-1.6101,0.3401,-0.0473,2.3583,-1.8655,0.0000,0.0000
