,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,Unnamed: 38,centroid_lon,centroid_lat
94,asdf                                                               ,240.942,34.998,240.993,35.029,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,240.9675,35.0135
95,asdf                                                               ,240.594,34.942,240.695,34.932,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,240.6445,34.937
96,asdf                                                               ,242.403,33.854,242.452,33.815,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,242.4275,33.8345
97,asdf                                                               ,241.448,34.021,241.459,34.032,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,241.45350000000002,34.0265
98,asdf                                                               ,241.716,34.111,241.733,34.115,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,241.7245,34.113
99,asdf                                                               ,242.963,35.016,243.083,34.873,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,243.023,34.9445
100,asdf                                                               ,242.525,36.498,242.592,36.436,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,242.5585,36.467
101,asdf                                                               ,243.451,33.513,243.457,33.471,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,243.454,33.492
102,asdf                                                               ,244.423,32.851,244.522,32.807,90.0,100,0,0,0,0,0,0,0,0,2.5,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,244.4725,32.829
103,asdf                                                               ,243.959,32.787,244.106,32.653,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,244.0325,32.72
104,asdf                                                               ,241.986,35.271,242.403,35.11,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,242.1945,35.1905
