,Unnamed: 0,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,centroid_lon,centroid_lat
59,59,ALPF_fault_5                                                        ,167.78,-44.56,168.085,-44.39,80.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,-26.0,10.5,0,0.6,1.4,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,167.9325,-44.475
60,60,ALPF_fault_6                                                        ,168.085,-44.39,168.718,-44.067,80.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,-26.0,9.0,0,1.5,0.8,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,168.4015,-44.2285
61,61,ALPF_fault_7                                                        ,168.718,-44.067,168.865,-44.0,80.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,-28.0,6.0,0,2.2,1.2,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,168.79149999999998,-44.033500000000004
62,62,ANDE_close                                                          ,284.16,10.751,285.428,11.756,45.0,100,0,0,0,0,0,0,0,0,14.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,284.794,11.253499999999999
63,63,AN_Iran_fault_1                                                     ,54.737,32.554,54.713,32.486,95.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,54.725,32.519999999999996
64,64,AN_Iran_fault_2                                                     ,54.713,32.486,54.692,32.288,95.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,3.0,1,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,54.7025,32.387
65,65,AN_Iran_fault_3                                                     ,54.692,32.288,54.802,31.997,85.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,54.747,32.1425
66,66,AN_Iran_fault_4                                                     ,54.802,31.997,55.025,31.608,85.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,54.9135,31.802500000000002
67,67,AN_Iran_fault_5                                                     ,55.025,31.608,55.148,31.241,85.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,55.0865,31.424500000000002
68,68,AN_Iran_fault_6                                                     ,55.148,31.241,55.262,30.688,85.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,1.5,1.0,1,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,55.205,30.9645
69,69,AN_KB                                                               ,54.737,32.554,55.306,32.398,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,55.0215,32.476
70,70,AS_Iran_fault_1                                                     ,55.499,30.384,55.599,30.354,85.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,55.549,30.369
71,71,AS_Iran_fault_10                                                    ,56.42,30.0,56.447,29.98,85.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,56.4335,29.990000000000002
72,72,AS_Iran_fault_11                                                    ,56.447,29.98,56.491,29.931,85.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,56.469,29.9555
73,73,AS_Iran_fault_12                                                    ,56.491,29.931,56.533,29.889,85.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,56.512,29.91
74,74,AS_Iran_fault_2                                                     ,55.599,30.354,55.722,30.29,85.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,55.6605,30.322
75,75,AS_Iran_fault_3                                                     ,55.722,30.29,55.85,30.237,85.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,55.786,30.2635
76,76,AS_Iran_fault_4                                                     ,55.85,30.237,55.987,30.189,85.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,55.9185,30.213
77,77,AS_Iran_fault_5                                                     ,55.987,30.189,56.083,30.141,85.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,56.035,30.165
78,78,AS_Iran_fault_6                                                     ,56.083,30.141,56.19,30.095,85.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,56.1365,30.118
79,79,AS_Iran_fault_7                                                     ,56.19,30.095,56.318,30.071,85.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,56.254,30.083
80,80,AS_Iran_fault_8                                                     ,56.318,30.071,56.407,30.008,85.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,56.3625,30.0395
81,81,AS_Iran_fault_9                                                     ,56.407,30.008,56.42,30.0,85.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,56.4135,30.003999999999998
82,82,AU_Java                                                             ,133.762,-5.545,134.049,-4.476,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,30.0,0,0,0,0,0,0,-1,0,0,0,133.90550000000002,-5.0105
83,83,AWAT_fault_1                                                        ,173.872,-41.718,173.283,-42.06,90.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,-6.0,3.5,0,2.0,2.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,173.5775,-41.889
84,84,AWAT_fault_2                                                        ,173.283,-42.06,172.813,-42.157,90.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,173.048,-42.1085
85,85,AWAT_fault_3                                                        ,172.813,-42.157,172.237,-42.347,90.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,5.0,1,0,0,0,0,0,-1,0,0,0,172.52499999999998,-42.251999999999995
86,86,Akar_connect                                                        ,20.54,38.81,20.708,39.124,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,20.624,38.967
87,87,Akar_connect2                                                       ,21.348,38.001,21.771,38.293,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,-8.0,5.0,1,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,21.5595,38.147
88,88,Akarnania_Vernant14_1                                               ,21.771,38.293,21.951,38.35,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,21.861,38.3215
89,89,Akarnania_Vernant14_2                                               ,21.951,38.35,21.718,38.434,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,21.8345,38.391999999999996
90,90,Akarnania_Vernant14_3                                               ,21.718,38.434,21.593,38.59,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,21.6555,38.512
91,91,Akarnania_Vernant14_4                                               ,21.593,38.59,21.307,38.633,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,21.45,38.61150000000001
92,92,Akarnania_Vernant14_5                                               ,21.307,38.633,21.151,38.915,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,21.229,38.774
93,93,Akarnania_Vernant14_6a                                              ,21.151,38.915,21.011,39.091,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,21.081,39.003
94,94,Akarnania_Vernant14_6b                                              ,21.011,39.091,20.974,39.139,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,20.9925,39.115
95,95,Akarnania_Vernant14_7                                               ,20.974,39.139,20.852,39.178,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,20.913,39.158500000000004
96,96,Akarnania_Vernant14_8                                               ,20.852,39.178,20.708,39.124,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,20.78,39.150999999999996
97,97,Akhurian_fault                                                      ,43.624,40.579,43.959,40.968,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,43.7915,40.7735
98,98,Aktug13_az_LCF_1                                                    ,44.907,41.446,45.582,40.995,30.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,45.2445,41.2205
99,99,Aktug13_az_LCF_2                                                    ,45.582,40.995,45.887,40.862,30.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,45.7345,40.9285
